model_number,star_age,star_mass,log_L,Teff,radius,log_R,log_center_T,log_center_Rho,center_h1,center_he4,center_c12,center_o16,surface_h1,surface_he4,he_core_mass,co_core_mass,fe_core_mass,surf_avg_v_div_v_crit
1,1e-05,49.99999999928528,5.534575203857869,50954.813719107995,7.508796359840629,0.8755703263285847,7.659505101320639,0.5733696786006739,0.760000000004328,0.23999000002421095,3.6135917425226454e-38,8.276236405271532e-54,0.7600000000000003,0.23998999999999965,0.0,0.0,0.0,0.20000171465385527
2,2.2e-05,49.99999999928528,5.534575203123556,50954.8136352816,7.508796378198268,0.8755703273903556,7.65950509084612,0.5733696527897902,0.7600000000095053,0.23999000005317053,7.900240513154364e-38,4.379347746360855e-53,0.7600000000000001,0.23998999999999965,0.0,0.0,0.0,0.20000171417205143
3,3.6400000000000004e-05,49.99999999928528,5.534575207878052,50954.813679922976,7.508796406143157,0.8755703290066347,7.659505072118214,0.5733696065674576,0.7600000000156955,0.23999000008778967,1.2975186432903546e-37,1.4568406351413192e-52,0.7600000000000001,0.23998999999999965,0.0,0.0,0.0,0.20000171434839542
4,5.368000000000001e-05,49.99999999928528,5.534575217973219,50954.81383335414,7.5087964481942615,0.8755703314387905,7.6595050452102935,0.5733695400918923,0.7600000000230914,0.23999000012914587,1.8969616303984594e-37,3.897643890373578e-52,0.7600000000000001,0.23998999999999965,0.0,0.0,0.0,0.20000171519212565
5,7.441600000000001e-05,49.99999999928528,5.53457523308551,50954.81405807209,7.5087965126075895,0.8755703351643347,7.659505013426682,0.5733694615082087,0.7600000000319213,0.23999000017851074,2.603170227593223e-37,9.167850784715053e-52,0.7600000000000001,0.23998999999999965,0.0,0.0,0.0,0.2000017166831781
6,9.929920000000001e-05,49.99999999928528,5.534575254961535,50954.814353861024,7.5087966145459095,0.8755703410602528,7.659504981930937,0.5733693835927131,0.7600000000424534,0.23999000023737924,3.4326350034106667e-37,1.979727589785073e-51,0.7600000000000001,0.23998999999999965,0.0,0.0,0.0,0.2000017190589687
7,0.00012915904,49.99999999928528,5.5345752916839395,50954.81485480605,7.5087967843641605,0.8755703508822166,7.659504954364257,0.5733693153767543,0.7600000000550012,0.23999000030749645,4.403159063873467e-37,4.0209559408497136e-51,0.7600000000000001,0.23998999999999965,0.0,0.0,0.0,0.2000017232288122
8,0.00016499084799999998,49.99999999928528,5.534575355335337,50954.81569105967,7.5087970881553705,0.8755703684529202,7.65950493135322,0.573369258431205,0.7600000000699294,0.23999000039088605,5.5334210127169345e-37,7.795340724380741e-51,0.7599999999999999,0.23998999999999945,0.0,0.0,0.0,0.2000017305451393
9,0.00020798901759999997,49.99999999928528,5.5345753928685175,50954.81489766774,7.508797646454502,0.8755704007438745,7.6595049121906555,0.5733692110211623,0.7600000000876584,0.23999000048988678,6.842749105935374e-37,1.4563996926832239e-50,0.7599999999999999,0.23998999999999948,0.0,0.0,0.0,0.20000173438117055
10,0.00025958682112,49.99999999928528,5.534575217592151,50954.80672628469,7.508798539522464,0.8755704523972128,7.659504897193101,0.573369173913276,0.7600000001086743,0.23999000060718845,8.350763166530789e-37,2.6393437464574446e-50,0.7599999999999999,0.23998999999999945,0.0,0.0,0.0,0.20000171044813067
11,0.00032150418534399993,49.99999999928528,5.534574763818956,50954.789966676355,7.50879955619041,0.8755705111993296,7.659504888223147,0.5733691517109004,0.760000000133532,0.23999000074586008,1.0076639769717249e-36,4.660676562872809e-50,0.7599999999999997,0.23998999999999945,0.0,0.0,0.0,0.2000016480334818
12,0.00039580502241279986,49.99999999928528,5.534574355712656,50954.775745591374,7.508800219478433,0.8755705495626277,7.659504886500696,0.5733691474301135,0.7600000001628588,0.23999000090936645,1.2037926092854055e-36,8.044658530269238e-50,0.76,0.23998999999999948,0.0,0.0,0.0,0.2000015886518244
13,0.00048496602689535983,49.99999999928528,5.534574282332586,50954.77325329716,7.508800319659695,0.8755705553569181,7.659504890264688,0.5733691567257424,0.760000000197357,0.2399900011015718,1.424924332808554e-36,1.360259895476777e-49,0.7600000000000002,0.23998999999999956,0.0,0.0,0.0,0.20000157399835275
14,0.0005919592322744318,49.99999999928528,5.534574412531696,50954.77769656599,7.508800135669892,0.8755705447153037,7.659504895161521,0.5733691688323425,0.7600000002378043,0.23999000132674103,1.672136654861789e-36,2.2567007319027515e-49,0.7600000000000001,0.23998999999999954,0.0,0.0,0.0,0.20000158910393998
15,0.0007203510787293181,49.99999999928528,5.534574513172607,50954.781108939096,7.508799999984509,0.8755705368675235,7.659504897662127,0.5733691750255493,0.7600000002850519,0.23999000158952755,1.9460449733844117e-36,3.677715876232467e-49,0.7599999999999996,0.23998999999999945,0.0,0.0,0.0,0.2000016017571385
16,0.0008744212944751818,49.99999999928528,5.5345745413215965,50954.781996753125,7.5087999816674635,0.875570535808101,7.659504897683748,0.5733691750888056,0.7600000003400214,0.2399900018949492,2.2467543178713336e-36,5.8931312073044995e-49,0.7600000000000015,0.23998999999999984,0.0,0.0,0.0,0.20000160471321723
17,0.001059305553370218,49.99999999928528,5.534574546815585,50954.78208113315,7.508800004293209,0.8755705371167304,7.659504897080216,0.5733691736095465,0.7600000004036979,0.23999000224834377,2.573821581874107e-36,9.292313033791295e-49,0.760000000000001,0.23998999999999973,0.0,0.0,0.0,0.20000160443474047
18,0.0012811666640442617,49.99999999928528,5.534574555960015,50954.782302962834,7.508800017966683,0.8755705379075777,7.659504896858532,0.5733691730725392,0.7600000004771191,0.23999000265530482,2.9262426248454538e-36,1.4428338841445056e-48,0.7600000000000013,0.23998999999999981,0.0,0.0,0.0,0.20000160466818565
